"weeknumber","precipitation"
1064," 1.64"
1065," 3.38"
1066," 2.65"
1067," 1.63"
1068," 3.16"
1069," 2.85"
1070," 4.02"
1071," 3.32"
1072," 4.49"
1073," 4.20"
1074," 3.12"
1075," 0.80"
1076," 1.33"
1077," 3.83"
1078," 2.01"
1079," 5.70"
1080," 4.09"
1081," 2.56"
1082," 4.63"
1083," 2.93"
1084," 3.04"
1085," 2.59"
1086," 1.95"
1087," 4.81"
1088," 0.90"
1089," 2.90"
1090," 2.86"
1091," 3.38"
1092," 3.83"
1093," 3.14"
1094," 3.24"
1095," 2.88"
1096," 1.08"
1097," 2.62"
1098," 1.94"
1099," 1.71"
1100," 3.11"
1101," 3.08"
1102," 3.64"
1103," 2.92"
1104," 3.28"
1105," 2.13"
1106," 2.04"
1107," 2.76"
1108," 0.83"
1109," 3.00"
1110," 0.28"
1111," 1.35"
1112," 1.33"
1113," 1.75"
1114," 0.94"
1115," 1.22"
1116," 2.30"
1117," 4.38"
1118," 1.74"
1119," 1.89"
1120," 1.68"
1121," 3.22"
1122," 2.48"
1123," 1.95"
1124," 3.56"
1125," 2.84"
1126," 3.75"
1127," 0.85"
1128," 3.04"
1129," 1.60"
1130," 4.57"
1131," 2.23"
1132," 2.80"
1133," 1.77"
1134," 3.61"
1135," 3.60"
1136," 3.51"
1137," 1.45"
1138," 2.24"
1139," 3.02"
1140," 3.14"
1141," 1.29"
1142," 3.06"
1143," 2.09"
1144," 1.29"
1145," 4.73"
1146," 3.76"
1147," 2.09"
1148," 3.03"
1149," 2.29"
1150," 2.40"
1151," 3.94"
1152," 2.47"
1153," 3.35"
1154," 0.64"
1155," 3.39"
1156," 2.02"
1157," 3.93"
1158," 2.16"
1159," 2.29"
1160," 3.45"
1161," 1.03"
1162," 1.30"
1163," 2.54"
1164," 2.71"
1165," 0.29"
1166," 3.22"
1167," 0.91"
1168," 2.27"
1169," 0.31"
1170," 3.57"
1171," 1.83"
1172," 2.22"
1173," 5.23"
1174," 2.02"
1175," 1.28"
1176," 6.25"
1177," 3.74"
1178," 1.71"
1179," 2.83"
1180," 4.62"
1181," 3.16"
1182," 4.24"
1183," 1.54"
1184," 2.94"
1185," 2.62"
1186," 2.04"
1187," 5.02"
1188," 2.83"
1189," 1.60"
1190," 1.65"
1191," 4.80"
1192," 2.12"
1193," 4.11"
1194," 1.26"
1195," 1.49"
1196," 2.76"
1197," 2.97"
1198," 4.84"
1199," 1.67"
1200," 3.79"
1201," 2.86"
1202," 1.24"
1203," 1.24"
1204," 1.62"
1205," 2.91"
1206," 1.11"
1207," 1.19"
1208," 1.51"
1209," 1.68"
1210," 2.34"
1211," 6.93"
1212," 0.49"
1213," 1.87"
1214," 3.12"
